,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_4,day_5,day_6,midweek,month_1,month_2,month_3,month_4,month_11,month_12,days_since_start,vet_day,thanksgiv,xmas,mlk_day,pres_day,xmas_sat,mlk_sat,xmas_sun,mlk_sun,xmas_fri,mlk_fri,xmas_mon,mlk_mon,spring_break,new_24_sq,new_24_cu,new_24_sqrt,ln_new_24,basedepth_sq,basedepth_cu,basedepth_sqrt,ln_basedepth,open_trails_sq,open_trails_cu,open_trails_sqrt,ln_open_trails,open_lifts_sq,open_lifts_cu,open_lifts_sqrt,ln_open_lifts,open_percent_sq,open_percent_cu,open_percent_sqrt,ln_open_percent,tot_snow_sq,tot_snow_cu,tot_snow_sqrt,ln_tot_snow,week_snow_tot_sq,week_snow_tot_cu,week_snow_tot_sqrt,ln_week_snow_tot,2day_snow_tot_sq,2day_snow_tot_cu,2day_snow_tot_sqrt,ln_2day_snow_tot,3day_snow_tot_sq,3day_snow_tot_cu,3day_snow_tot_sqrt,ln_3day_snow_tot,4day_snow_tot_sq,4day_snow_tot_cu,4day_snow_tot_sqrt,ln_4day_snow_tot,5day_snow_tot_sq,5day_snow_tot_cu,5day_snow_tot_sqrt,ln_5day_snow_tot,6day_snow_tot_sq,6day_snow_tot_cu,6day_snow_tot_sqrt,ln_6day_snow_tot,days_since_start_sq,days_since_start_cu,days_since_start_sqrt,ln_days_since_start
2/12/12,7601,3338,4506,0,57,120,23,60,98,13,4,8,12,12,13,0,0,0,1,0,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,3249,185193,7.549834435,4.043051268,14400,1728000,10.95445115,4.787491743,529,12167,4.795831523,3.135494216,3600,216000,7.745966692,4.094344562,9604,941192,9.899494937,4.584967479,169,2197,3.605551275,2.564949357,16,64,2,1.386294361,64,512,2.828427125,2.079441542,144,1728,3.464101615,2.48490665,144,1728,3.464101615,2.48490665,169,2197,3.605551275,2.564949357,8464,778688,9.591663047,4.521788577
2/13/12,2795,2155,3866,5,60,120,18,60,103,18,5,9,13,17,17,1,0,0,0,0,0,1,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,2.236067978,1.609437912,3600,216000,7.745966692,4.094344562,14400,1728000,10.95445115,4.787491743,324,5832,4.242640687,2.890371758,3600,216000,7.745966692,4.094344562,10609,1092727,10.14889157,4.634728988,324,5832,4.242640687,2.890371758,25,125,2.236067978,1.609437912,81,729,3,2.197224577,169,2197,3.605551275,2.564949357,289,4913,4.123105626,2.833213344,289,4913,4.123105626,2.833213344,8649,804357,9.643650761,4.532599493
2/14/12,2052,2024,3838,4,63,121,18,70,107,21,9,9,13,17,21,0,0,0,0,1,0,1,0,0,0,0,94,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,16,64,2,1.386294361,3969,250047,7.937253933,4.143134726,14641,1771561,11,4.795790546,324,5832,4.242640687,2.890371758,4900,343000,8.366600265,4.248495242,11449,1225043,10.34408043,4.672828834,441,9261,4.582575695,3.044522438,81,729,3,2.197224577,81,729,3,2.197224577,169,2197,3.605551275,2.564949357,289,4913,4.123105626,2.833213344,441,9261,4.582575695,3.044522438,8836,830584,9.695359715,4.543294782
2/15/12,2194,2416,4060,1,62,123,19,75,108,22,5,10,10,14,18,0,0,0,0,1,0,1,0,0,0,0,95,0,0,0,0,197,0,0,0,0,0,0,0,0,0,1,1,1,0,3844,238328,7.874007874,4.127134385,15129,1860867,11.09053651,4.812184355,361,6859,4.358898944,2.944438979,5625,421875,8.660254038,4.317488114,11664,1259712,10.39230485,4.682131227,484,10648,4.69041576,3.091042453,25,125,2.236067978,1.609437912,100,1000,3.16227766,2.302585093,100,1000,3.16227766,2.302585093,196,2744,3.741657387,2.63905733,324,5832,4.242640687,2.890371758,9025,857375,9.746794345,4.553876892
2/16/12,2486,3521,5095,1,60,123,19,75,109,19,2,6,11,11,15,0,0,0,0,1,0,1,0,0,0,0,96,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,1,1,1,0,3600,216000,7.745966692,4.094344562,15129,1860867,11.09053651,4.812184355,361,6859,4.358898944,2.944438979,5625,421875,8.660254038,4.317488114,11881,1295029,10.44030651,4.691347882,361,6859,4.358898944,2.944438979,4,8,1.414213562,0.693147181,36,216,2.449489743,1.791759469,121,1331,3.31662479,2.397895273,121,1331,3.31662479,2.397895273,225,3375,3.872983346,2.708050201,9216,884736,9.797958971,4.564348191
2/17/12,3385,7731,9441,0,60,127,20,80,109,15,1,2,6,11,11,0,1,0,0,0,0,1,0,0,0,0,97,0,0,0,0,4511,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,3600,216000,7.745966692,4.094344562,16129,2048383,11.26942767,4.844187086,400,8000,4.472135955,2.995732274,6400,512000,8.94427191,4.382026635,11881,1295029,10.44030651,4.691347882,225,3375,3.872983346,2.708050201,1,1,1,0,4,8,1.414213562,0.693147181,36,216,2.449489743,1.791759469,121,1331,3.31662479,2.397895273,121,1331,3.31662479,2.397895273,9409,912673,9.848857802,4.574710979
2/18/12,4542,6345,11244,1,60,127,24,80,110,12,1,2,3,7,12,0,0,1,0,0,0,1,0,0,0,0,98,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,1,1,1,0,3600,216000,7.745966692,4.094344562,16129,2048383,11.26942767,4.844187086,576,13824,4.898979486,3.17805383,6400,512000,8.94427191,4.382026635,12100,1331000,10.48808848,4.700480366,144,1728,3.464101615,2.48490665,1,1,1,0,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,49,343,2.645751311,1.945910149,144,1728,3.464101615,2.48490665,9604,941192,9.899494937,4.584967479
2/19/12,6623,4116,8737,0,53,127,23,80,110,12,1,1,2,3,7,0,0,0,1,0,0,1,0,0,0,0,99,0,0,0,0,-2643,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,2809,148877,7.280109889,3.970291914,16129,2048383,11.26942767,4.844187086,529,12167,4.795831523,3.135494216,6400,512000,8.94427191,4.382026635,12100,1331000,10.48808848,4.700480366,144,1728,3.464101615,2.48490665,1,1,1,0,1,1,1,0,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,49,343,2.645751311,1.945910149,9801,970299,9.949874371,4.59511985
2/20/12,3989,0,4748,4,62,127,23,80,114,11,4,5,5,6,7,1,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,-3989,0,0,0,0,0,0,0,0,0,16,64,2,1.386294361,3844,238328,7.874007874,4.127134385,16129,2048383,11.26942767,4.844187086,529,12167,4.795831523,3.135494216,6400,512000,8.94427191,4.382026635,12996,1481544,10.67707825,4.736198448,121,1331,3.31662479,2.397895273,16,64,2,1.386294361,25,125,2.236067978,1.609437912,25,125,2.236067978,1.609437912,36,216,2.449489743,1.791759469,49,343,2.645751311,1.945910149,10000,1000000,10,4.605170186
2/21/12,3009,2249,3988,1,61,127,19,80,115,8,5,5,6,6,7,0,0,0,0,1,0,1,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3721,226981,7.810249676,4.110873864,16129,2048383,11.26942767,4.844187086,361,6859,4.358898944,2.944438979,6400,512000,8.94427191,4.382026635,13225,1520875,10.72380529,4.744932128,64,512,2.828427125,2.079441542,25,125,2.236067978,1.609437912,25,125,2.236067978,1.609437912,36,216,2.449489743,1.791759469,36,216,2.449489743,1.791759469,49,343,2.645751311,1.945910149,10201,1030301,10.04987562,4.615120517
