Date,Time,freezing_fog,heavy_snow,light_snow,mist,thunderstorm_haze,thunderstorm_snow,clear_sky,broken_sky,scattered_sky,overcast,snowfall,high_temp_C,low_temp_C,max_windspeed,mean_windspeed,max_rh,mean_rh,mean_visibility
2014-11-01,2150,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2210,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2229,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2251,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2311,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2331,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2350,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-02,11,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,31,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,51,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,110,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,151,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,211,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,231,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,251,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,311,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,331,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,410,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,431,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,451,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,511,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,530,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,551,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,610,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,629,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,649,0,0,0,0,1,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,710,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,730,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,749,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,810,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,830,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,849,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,930,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,950,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1010,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1029,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1050,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1110,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1129,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1150,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1210,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1231,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1249,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1311,1,0,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1329,0,1,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1349,0,0,1,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1410,1,0,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1430,0,0,0,1,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1449,1,0,0,0,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1510,0,0,0,1,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1530,0,0,1,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1550,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1610,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1629,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1650,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1710,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1730,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1749,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1810,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1830,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1850,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1910,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1930,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,1949,0,0,0,0,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2010,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2030,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2050,0,0,0,1,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2110,0,0,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2130,0,0,0,1,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2150,0,0,0,1,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2209,0,0,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2230,0,0,0,0,0,0,0,0,0,1,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2251,0,0,0,0,0,0,0,1,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2311,0,0,0,0,0,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2330,0,0,0,0,0,0,1,0,0,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-02,2351,0,0,0,0,1,0,0,0,1,0,0.06,-1.0,-6.0,36.0,15.4444444444,96.0,86.6231884058,8.6231884058
2014-11-03,11,0,0,0,0,0,0,0,0,1,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,31,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,51,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,110,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,131,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,150,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,211,0,0,0,0,0,0,1,0,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,231,0,0,0,0,0,0,0,0,1,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,251,0,0,0,0,0,0,0,0,1,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,311,0,0,0,0,0,0,0,0,1,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,331,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,351,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,411,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,531,0,0,0,0,0,1,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,611,0,0,0,0,0,1,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,631,0,0,1,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,650,0,0,1,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,730,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,751,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,830,0,0,1,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,851,0,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,911,0,0,0,0,0,0,0,1,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,931,0,0,1,0,0,0,0,1,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,951,0,1,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1011,0,1,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1031,0,1,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1211,0,0,0,1,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1231,0,0,0,1,0,0,0,1,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1251,0,0,0,1,0,0,0,0,1,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1311,0,0,0,1,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1331,0,0,0,1,0,0,0,1,0,0,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1351,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1411,0,0,1,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1430,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1451,0,0,1,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1511,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1530,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1549,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1610,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1629,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1650,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1710,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1730,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1750,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1809,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1829,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1850,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1910,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1930,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,1950,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,2009,1,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
2014-11-03,2030,0,0,0,0,0,0,0,0,0,1,0.14,-6.0,-11.0,33.0,16.1632653061,92.0,85.9193548387,2.28125
