FormattedDate,away_WP,to_WP,day_of_week,skiers
11/13/13,1659,1791,2,0
11/14/13,1714,1923,3,132
11/15/13,1935,3269,4,341
11/16/13,2005,2211,5,1675
11/17/13,3362,1453,6,1881
11/18/13,1821,1602,0,-28
11/19/13,1642,1666,1,-247
11/20/13,1638,1570,2,-223
11/21/13,1269,1292,3,-291
11/22/13,1509,2802,4,-268
11/23/13,2006,2936,5,1025
11/24/13,2927,2042,6,1955
11/25/13,2085,2041,0,1070
11/26/13,2186,2540,1,1026
11/27/13,2693,4246,2,1380
11/28/13,1954,2684,3,2933
11/29/13,3517,4694,4,3663
11/30/13,4777,3197,5,4840
12/1/13,5048,1865,6,3260
12/2/13,1965,1579,0,77
12/3/13,1328,1544,1,-309
12/4/13,1038,1190,2,-93
12/5/13,1467,1692,3,59
12/6/13,1673,3145,4,284
12/7/13,3146,3603,5,1756
12/8/13,3857,2042,6,2213
12/9/13,1826,1607,0,398
12/10/13,1637,1747,1,179
12/11/13,1939,1971,2,289
12/12/13,2068,2260,3,321
12/13/13,2189,4321,4,513
12/14/13,3964,4659,5,2645
12/15/13,5638,3365,6,3340
12/16/13,2521,2152,0,1067
12/17/13,2177,2200,1,698
12/18/13,2367,2370,2,721
12/19/13,2230,2630,3,724
12/20/13,2582,4628,4,1124
12/21/13,3457,5015,5,3170
12/22/13,4369,4001,6,4728
12/23/13,4304,4299,0,4360
12/24/13,3086,3563,1,4355
12/25/13,3020,3384,2,4832
12/26/13,4229,5805,3,5196
12/27/13,5236,7241,4,6772
12/28/13,5285,5831,5,8777
12/29/13,5781,4570,6,9323
12/30/13,5740,5492,0,8112
12/31/13,4068,5065,1,7864
1/1/14,6981,4681,2,8861
1/2/14,5351,4436,3,6561
1/3/14,5410,6077,4,5646
1/4/14,4497,3863,5,6313
1/5/14,6095,2785,6,5679
1/6/14,3032,2249,0,2369
1/7/14,2443,2458,1,1586
1/8/14,2378,2361,2,1601
1/9/14,2594,2852,3,1584
1/10/14,2605,5570,4,1842
1/11/14,5209,5669,5,4807
1/12/14,5925,2439,6,5267
1/13/14,2427,1877,0,1781
1/14/14,1719,1646,1,1231
1/15/14,2541,2596,2,1158
1/16/14,2457,3021,3,1213
1/17/14,2994,7369,4,1777
1/18/14,5263,6432,5,6152
1/19/14,5486,3158,6,7321
1/20/14,6929,3011,0,4993
1/21/14,2440,2152,1,1075
1/22/14,2152,2199,2,787
1/23/14,1835,2579,3,834
1/24/14,2423,6463,4,1578
1/25/14,4597,5286,5,5618
1/26/14,7747,3245,6,6307
1/27/14,2136,1563,0,1805
1/28/14,2190,2164,1,1232
1/29/14,2221,2389,2,1206
1/30/14,1810,3045,3,1374
1/31/14,2734,5773,4,2609
2/1/14,4589,4853,5,5648
