,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,new_years,mlk_day,pres_day,new_years_sat,mlk_sat,new_years_sun,mlk_sun,new_years_fri,mlk_fri,new_years_mon,mlk_mon,spring_break,spring_break_ends
3/13/13,2871,2822,1808,1,71,135,21,95,177.9,9,5,5,5,9,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/13,2916,3004,1896,0,68,135,21,95,177.9,9,1,5,5,5,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/13,3538,5475,3833,0,68,135,19,95,177.9,9,0,1,5,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/13,4194,4785,4424,0,65,135,24,95,177.9,5,0,0,1,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/13,5748,3284,1960,1,64,135,23,95,178.9,6,1,1,1,2,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/13,2861,2469,1568,6,69,135,20,95,184.9,12,7,7,7,7,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/13,2622,2430,1376,1,66,135,20,95,185.9,9,7,8,8,8,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/13,2709,2564,1231,0,66,135,19,95,185.9,8,1,7,8,8,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/13,2633,2829,1427,2,67,135,19,95,187.9,10,2,3,9,10,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/13,3140,5350,3637,6,70,135,20,95,193.9,16,8,8,9,15,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/13,2627,3304,4314,2,73,135,24,95,195.9,18,8,10,10,11,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/13,5139,3542,2717,1,72,135,24,95,196.9,18,3,9,11,11,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/13,3147,3009,2579,0,71,135,21,95,196.9,12,1,3,9,11,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/13,3222,3115,2472,0,70,135,21,95,196.9,11,0,1,3,9,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/13,3528,3499,2443,2,71,135,19,95,198.9,13,2,2,3,5,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/13,3529,3909,2823,0,69,135,19,95,198.9,11,2,2,2,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/13,4042,4728,3509,0,68,135,19,95,198.9,5,0,2,2,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/13,4558,3620,2571,0,68,135,24,95,198.9,3,0,0,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/13,4515,2400,456,1,68,135,23,95,199.9,3,1,1,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/13,2534,2004,-74,0,67,135,20,95,199.9,3,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/13,1958,1872,-160,0,65,130,20,91,199.9,3,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/13,2123,2136,-147,1,65,130,19,91,200.9,2,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/13,2488,2515,-120,0,68,130,19,91,200.9,2,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/13,2544,3470,806,0,65,130,19,91,200.9,2,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/13,3081,3253,978,4,68,130,22,91,204.9,6,4,4,5,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/13,4163,2097,-1088,0,67,130,22,91,204.9,5,4,4,4,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/13,1927,1617,-1398,3,68,130,20,91,207.9,8,3,7,7,7,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/13,1045,1003,-1440,2,70,130,19,91,209.9,10,5,5,9,9,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/13,1767,1732,-1475,1,70,130,19,91,210.9,10,3,6,6,10,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/13,1754,2096,-1133,4,72,130,19,91,214.9,14,5,7,10,10,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/13,2133,3545,279,2,72,130,19,91,216.9,16,6,7,9,12,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/13,2723,3084,640,0,74,130,23,91,216.9,12,2,6,7,9,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/13,4079,2304,-1135,10,78,130,22,91,226.9,22,10,12,16,17,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/15/13,1052,1143,-1044,5.5,81,130,20,91,232.4,24.5,15.5,15.5,17.5,21.5,22.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/16/13,2062,1982,-1124,12,92,130,19,91,244.4,34.5,17.5,27.5,27.5,29.5,33.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/13,1685,1672,-1137,1,89,130,19,91,245.4,34.5,13,18.5,28.5,28.5,30.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/18/13,2211,2459,-889,6,92,130,19,91,251.4,36.5,7,19,24.5,34.5,34.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/13,2922,4906,1095,5,93,130,21,91,256.4,39.5,11,12,24,29.5,39.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/13,3417,4422,2100,0,90,130,21,91,256.4,39.5,5,11,12,24,29.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/21/13,6391,3359,-932,2,88,130,21,91,258.4,31.5,2,7,13,14,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/13,2005,2211,1675,4,18,3,3,3,4,9.1,2.6,3.9,5.2,6.5,7.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/13,3362,1453,1881,12,24,3,3,3,16,9.1,4,3.9,5.2,6.5,7.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/13,1821,1602,-28,7,18,3,3,3,23,9.1,16,23,5.2,6.5,7.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
