date,basedepth,open_trails,open_lifts,open_percent,basedepth,open_trails,open_lifts,open_percent,new_24,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2015-11-27,22.25,15.25,5.75,11.0,22.25,15.25,5.75,11.0,1.3,16.9,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-28,23.0,24.6666666667,9.0,17.6666666667,23.0,24.6666666667,9.0,17.6666666667,1.3,18.2,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-29,22.3333333333,27.0,9.0,19.0,22.3333333333,27.0,9.0,19.0,1.3,19.5,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-30,20.4,20.8,9.4,13.4,20.4,20.8,9.4,13.4,1.3,20.8,9.1,2.6,3.9,5.2,6.5,7.8
2015-12-01,20.75,24.75,9.75,16.75,20.75,24.75,9.75,16.75,2.0,22.8,9.1,2.6,3.9,5.2,6.5,7.8
2015-12-02,20.5,25.0,9.25,16.75,20.5,25.0,9.25,16.75,2.0,24.8,9.8,3.3,4.6,5.9,7.2,8.5
2015-12-03,20.75,23.75,8.75,16.0,20.75,23.75,8.75,16.0,2.0,26.8,10.5,4.0,5.3,6.6,7.9,9.2
2015-12-04,21.25,24.0,7.75,16.25,21.25,24.0,7.75,16.25,2.0,28.8,11.2,4.0,6.0,7.3,8.6,9.9
2015-12-05,21.75,29.0,9.0,13.75,21.75,29.0,9.0,13.75,2.0,30.8,11.9,4.0,6.0,8.0,9.3,10.6
2015-12-06,21.5,33.75,12.25,21.5,21.5,33.75,12.25,21.5,2.0,32.8,12.6,4.0,6.0,8.0,10.0,11.3
2015-12-07,21.75,35.75,12.5,23.25,21.75,35.75,12.5,23.25,2.0,34.8,13.3,4.0,6.0,8.0,10.0,12.0
2015-12-08,21.75,35.5,12.0,23.25,21.75,35.5,12.0,23.25,2.0,36.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-09,21.75,36.75,12.5,23.5,21.75,36.75,12.5,23.5,2.0,38.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-10,21.75,38.5,12.0,24.0,21.75,38.5,12.0,24.0,2.0,40.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-11,24.5,42.0,11.75,25.75,24.5,42.0,11.75,25.75,2.0,42.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-12,23.25,44.0,11.25,26.25,23.25,44.0,11.25,26.25,2.0,44.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-13,23.25,55.25,14.5,34.5,23.25,55.25,14.5,34.5,2.0,46.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-14,24.0,59.0,15.2,36.6,24.0,59.0,15.2,36.6,2.0,48.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-15,29.8,60.6,15.4,38.2,29.8,60.6,15.4,38.2,2.0,50.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-16,29.0,63.25,14.5,38.0,29.0,63.25,14.5,38.0,2.0,52.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-17,29.25,63.25,14.75,38.75,29.25,63.25,14.75,38.75,2.0,54.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-18,30.25,67.5,15.0,41.75,30.25,67.5,15.0,41.75,2.0,56.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-19,35.25,70.25,15.5,41.75,35.25,70.25,15.5,41.75,2.0,58.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-20,32.5,76.25,17.0,44.75,32.5,76.25,17.0,44.75,2.0,60.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-21,33.25,83.0,18.25,54.0,33.25,83.0,18.25,54.0,2.0,62.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-22,36.6,87.0,17.8,54.6,36.6,87.0,17.8,54.6,2.0,64.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-23,37.0,88.5,18.25,57.0,37.0,88.5,18.25,57.0,2.0,66.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-24,36.5,89.75,18.5,57.5,36.5,89.75,18.5,57.5,2.0,68.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-25,37.0,91.75,18.75,58.5,37.0,91.75,18.75,58.5,2.0,70.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-26,36.5,95.0,19.75,58.5,36.5,95.0,19.75,58.5,2.0,72.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-27,37.25,99.25,20.25,59.75,37.25,99.25,20.25,59.75,2.0,74.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-28,37.75,106.75,21.0,62.0,37.75,106.75,21.0,62.0,2.0,76.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-29,38.5,105.25,20.25,61.75,38.5,105.25,20.25,61.75,2.0,78.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-30,39.0,103.0,20.25,62.5,39.0,103.0,20.25,62.5,2.0,80.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-31,38.0,105.0,20.25,63.75,38.0,105.0,20.25,63.75,2.0,82.8,14.0,4.0,6.0,8.0,10.0,12.0
2016-01-01,40.25,106.75,20.5,64.75,40.25,106.75,20.5,64.75,1.7,84.5,14.0,4.0,6.0,8.0,10.0,12.0
2016-01-02,39.5,105.0,20.75,63.5,39.5,105.0,20.75,63.5,1.7,86.2,13.7,3.7,5.7,7.7,9.7,11.7
2016-01-03,38.5,108.0,21.25,64.25,38.5,108.0,21.25,64.25,1.7,87.9,13.4,3.4,5.4,7.4,9.4,11.4
2016-01-04,39.4,112.8,21.6,69.2,39.4,112.8,21.6,69.2,1.7,89.6,13.1,3.4,5.1,7.1,9.1,11.1
2016-01-05,40.0,111.0,20.25,65.25,40.0,111.0,20.25,65.25,1.7,91.3,12.8,3.4,5.1,6.8,8.8,10.8
2016-01-06,40.0,109.75,19.75,65.25,40.0,109.75,19.75,65.25,1.7,93.0,12.5,3.4,5.1,6.8,8.5,10.5
2016-01-07,40.0,109.0,18.3333333333,68.6666666667,40.0,109.0,18.3333333333,68.6666666667,1.7,94.7,12.2,3.4,5.1,6.8,8.5,10.2
2016-01-08,38.75,111.25,18.75,66.5,38.75,111.25,18.75,66.5,1.7,96.4,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-09,40.75,113.25,18.5,67.75,40.75,113.25,18.5,67.75,1.7,98.1,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-10,41.25,113.75,19.75,67.75,41.25,113.75,19.75,67.75,1.7,99.8,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-11,42.25,115.5,20.75,68.75,42.25,115.5,20.75,68.75,1.7,101.5,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-12,44.75,117.0,20.25,69.75,44.75,117.0,20.25,69.75,1.7,103.2,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-13,45.25,117.75,18.75,68.75,45.25,117.75,18.75,68.75,1.7,104.9,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-14,45.25,119.5,18.75,70.0,45.25,119.5,18.75,70.0,1.7,106.6,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-15,45.5,120.0,17.75,70.0,45.5,120.0,17.75,70.0,1.7,108.3,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-16,44.2,123.0,19.8,75.0,44.2,123.0,19.8,75.0,1.7,110.0,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-17,44.25,118.75,21.25,68.75,44.25,118.75,21.25,68.75,1.7,111.7,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-18,44.5,118.75,19.75,69.25,44.5,118.75,19.75,69.25,1.7,113.4,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-19,43.75,119.25,19.75,70.5,43.75,119.25,19.75,70.5,1.7,115.1,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-20,45.0,121.5,21.0,74.25,45.0,121.5,21.0,74.25,1.7,116.8,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-21,45.5,122.5,21.25,74.5,45.5,122.5,21.25,74.5,1.7,118.5,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-22,45.75,122.5,19.0,75.75,45.75,122.5,19.0,75.75,1.7,120.2,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-23,45.75,121.25,19.0,74.75,45.75,121.25,19.0,74.75,1.7,121.9,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-24,45.5,121.25,19.75,74.75,45.5,121.25,19.75,74.75,1.7,123.6,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-25,44.0,116.666666667,18.3333333333,68.0,44.0,116.666666667,18.3333333333,68.0,1.7,125.3,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-26,45.0,124.0,21.25,76.0,45.0,124.0,21.25,76.0,1.7,127.0,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-27,45.0,126.5,19.75,78.75,45.0,126.5,19.75,78.75,1.7,128.7,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-28,48.75,123.5,19.5,76.0,48.75,123.5,19.5,76.0,1.7,130.4,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-29,48.75,123.75,19.5,77.25,48.75,123.75,19.5,77.25,1.7,132.1,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-30,50.5,122.0,18.75,76.25,50.5,122.0,18.75,76.25,1.7,133.8,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-31,56.4,124.8,20.4,79.8,56.4,124.8,20.4,79.8,1.7,135.5,11.9,3.4,5.1,6.8,8.5,10.2
2016-02-01,53.75,127.75,21.5,78.5,53.75,127.75,21.5,78.5,2.2,137.7,11.9,3.4,5.1,6.8,8.5,10.2
2016-02-02,54.5,127.75,20.0,78.5,54.5,127.75,20.0,78.5,2.2,139.9,12.4,3.9,5.6,7.3,9.0,10.7
2016-02-03,52.6,127.8,20.2,77.0,52.6,127.8,20.2,77.0,2.2,142.1,12.9,4.4,6.1,7.8,9.5,11.2
2016-02-04,49.5,124.0,20.25,75.0,49.5,124.0,20.25,75.0,2.2,144.3,13.4,4.4,6.6,8.3,10.0,11.7
2016-02-05,54.25,129.75,19.75,80.0,54.25,129.75,19.75,80.0,2.2,146.5,13.9,4.4,6.6,8.8,10.5,12.2
2016-02-06,54.0,130.0,19.0,80.0,54.0,130.0,19.0,80.0,2.2,148.7,14.4,4.4,6.6,8.8,11.0,12.7
2016-02-07,55.5,130.0,20.5,80.0,55.5,130.0,20.5,80.0,2.2,150.9,14.9,4.4,6.6,8.8,11.0,13.2
2016-02-08,55.0,131.0,20.25,80.0,55.0,131.0,20.25,80.0,2.2,153.1,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-09,55.4,131.8,20.4,84.0,55.4,131.8,20.4,84.0,2.2,155.3,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-10,59.25,131.5,20.0,81.25,59.25,131.5,20.0,81.25,2.2,157.5,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-11,58.4,129.2,20.8,77.0,58.4,129.2,20.8,77.0,2.2,159.7,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-12,60.5,131.5,20.5,81.25,60.5,131.5,20.5,81.25,2.2,161.9,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-13,61.5,131.75,19.25,81.25,61.5,131.75,19.25,81.25,2.2,164.1,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-14,64.25,132.0,20.0,83.75,64.25,132.0,20.0,83.75,2.2,166.3,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-15,63.5,130.25,21.25,85.0,63.5,130.25,21.25,85.0,2.2,168.5,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-16,62.25,130.5,22.75,83.75,62.25,130.5,22.75,83.75,2.2,170.7,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-17,62.8,131.0,22.6,82.0,62.8,131.0,22.6,82.0,2.2,172.9,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-18,61.4,133.8,21.2,88.0,61.4,133.8,21.2,88.0,2.2,175.1,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-19,59.0,132.75,20.25,85.75,59.0,132.75,20.25,85.75,2.2,177.3,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-20,62.25,131.5,20.5,85.0,62.25,131.5,20.5,85.0,2.2,179.5,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-21,57.6666666667,130.333333333,20.6666666667,81.6666666667,57.6666666667,130.333333333,20.6666666667,81.6666666667,2.2,181.7,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-22,63.25,131.75,21.5,90.25,63.25,131.75,21.5,90.25,2.2,183.9,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-23,64.25,132.0,21.25,90.25,64.25,132.0,21.25,90.25,2.2,186.1,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-24,64.75,133.75,20.5,91.5,64.75,133.75,20.5,91.5,2.2,188.3,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-25,64.5,132.0,23.0,87.75,64.5,132.0,23.0,87.75,2.2,190.5,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-26,65.8,135.6,20.4,93.2,65.8,135.6,20.4,93.2,2.2,192.7,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-27,65.0,132.5,19.0,91.75,65.0,132.5,19.0,91.75,2.2,194.9,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-28,67.25,132.5,20.25,91.75,67.25,132.5,20.25,91.75,2.2,197.1,15.4,4.4,6.6,8.8,11.0,13.2
2016-02-29,67.0,129.0,19.0,85.0,67.0,129.0,19.0,85.0,2.2,199.3,15.4,4.4,6.6,8.8,11.0,13.2
2016-03-01,69.0,133.25,21.5,92.25,69.0,133.25,21.5,92.25,1.6,200.9,15.4,4.4,6.6,8.8,11.0,13.2
2016-03-02,70.5,133.25,21.5,92.25,70.5,133.25,21.5,92.25,1.6,202.5,14.8,3.8,6.0,8.2,10.4,12.6
2016-03-03,71.0,135.4,20.8,93.6,71.0,135.4,20.8,93.6,1.6,204.1,14.2,3.2,5.4,7.6,9.8,12.0
2016-03-04,70.0,135.333333333,20.3333333333,93.3333333333,70.0,135.333333333,20.3333333333,93.3333333333,1.6,205.7,13.6,3.2,4.8,7.0,9.2,11.4
2016-03-05,71.5,136.25,19.0,93.5,71.5,136.25,19.0,93.5,1.6,207.3,13.0,3.2,4.8,6.4,8.6,10.8
2016-03-06,70.5,134.25,19.25,92.25,70.5,134.25,19.25,92.25,1.6,208.9,12.4,3.2,4.8,6.4,8.0,10.2
2016-03-07,69.0,134.25,20.25,92.25,69.0,134.25,20.25,92.25,1.6,210.5,11.8,3.2,4.8,6.4,8.0,9.6
2016-03-08,70.5,134.25,20.5,92.25,70.5,134.25,20.5,92.25,1.6,212.1,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-09,70.25,134.25,22.0,92.25,70.25,134.25,22.0,92.25,1.6,213.7,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-10,71.5,133.0,22.0,92.25,71.5,133.0,22.0,92.25,1.6,215.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-11,71.25,133.0,21.0,92.25,71.25,133.0,21.0,92.25,1.6,216.9,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-12,74.8,133.4,20.2,92.8,74.8,133.4,20.2,92.8,1.6,218.5,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-13,70.25,133.0,20.25,92.25,70.25,133.0,20.25,92.25,1.6,220.1,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-14,68.8,133.4,21.6,92.6,68.8,133.4,21.6,92.6,1.6,221.7,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-15,69.0,133.0,21.25,92.25,69.0,133.0,21.25,92.25,1.6,223.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-16,67.5,132.75,22.25,92.25,67.5,132.75,22.25,92.25,1.6,224.9,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-17,67.0,132.5,21.75,92.25,67.0,132.5,21.75,92.25,1.6,226.5,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-18,68.5,132.5,20.75,92.25,68.5,132.5,20.75,92.25,1.6,228.1,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-19,69.3333333333,131.666666667,19.6666666667,91.6666666667,69.3333333333,131.666666667,19.6666666667,91.6666666667,1.6,229.7,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-20,68.25,134.0,20.0,93.25,68.25,134.0,20.0,93.25,1.6,231.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-21,68.25,132.5,20.5,92.25,68.25,132.5,20.5,92.25,1.6,232.9,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-22,68.0,132.5,21.75,92.25,68.0,132.5,21.75,92.25,1.6,234.5,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-23,68.75,131.75,21.5,91.0,68.75,131.75,21.5,91.0,1.6,236.1,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-24,62.5,127.25,22.75,86.25,62.5,127.25,22.75,86.25,1.6,237.7,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-25,66.8,129.8,21.8,88.6,66.8,129.8,21.8,88.6,1.6,239.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-26,69.75,131.5,20.5,90.75,69.75,131.5,20.5,90.75,1.6,240.9,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-27,69.75,131.25,20.0,90.75,69.75,131.25,20.0,90.75,1.6,242.5,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-28,70.25,129.5,21.25,90.75,70.25,129.5,21.25,90.75,1.6,244.1,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-29,68.5,129.75,21.25,90.75,68.5,129.75,21.25,90.75,1.6,245.7,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-30,67.75,129.5,21.0,90.75,67.75,129.5,21.0,90.75,1.6,247.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-03-31,67.75,129.25,20.5,91.0,67.75,129.25,20.5,91.0,1.6,248.9,11.2,3.2,4.8,6.4,8.0,9.6
2016-04-01,67.0,127.333333333,19.3333333333,88.3333333333,67.0,127.333333333,19.3333333333,88.3333333333,1.4,250.3,11.2,3.2,4.8,6.4,8.0,9.6
2016-04-02,66.5,122.0,18.5,84.5,66.5,122.0,18.5,84.5,1.4,251.7,11.0,3.0,4.6,6.2,7.8,9.4
2016-04-03,68.25,120.75,18.0,84.5,68.25,120.75,18.0,84.5,1.4,253.1,10.8,2.8,4.4,6.0,7.6,9.2
2016-04-04,70.0,121.25,19.0,85.25,70.0,121.25,19.0,85.25,1.4,254.5,10.6,2.8,4.2,5.8,7.4,9.0
2016-04-05,68.0,121.25,20.0,85.25,68.0,121.25,20.0,85.25,1.4,255.9,10.4,2.8,4.2,5.6,7.2,8.8
2016-04-06,68.0,121.0,19.25,85.0,68.0,121.0,19.25,85.0,1.4,257.3,10.2,2.8,4.2,5.6,7.0,8.6
2016-04-07,68.0,121.25,18.25,85.25,68.0,121.25,18.25,85.25,1.4,258.7,10.0,2.8,4.2,5.6,7.0,8.4
2016-04-08,69.0,118.666666667,18.0,83.6666666667,69.0,118.666666667,18.0,83.6666666667,1.4,260.1,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-09,67.75,121.0,17.5,85.25,67.75,121.0,17.5,85.25,1.4,261.5,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-10,66.25,120.5,17.5,84.75,66.25,120.5,17.5,84.75,1.4,262.9,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-11,66.25,119.25,17.5,84.75,66.25,119.25,17.5,84.75,1.4,264.3,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-12,61.6,111.0,17.4,79.8,61.6,111.0,17.4,79.8,1.4,265.7,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-13,67.4,119.8,20.0,85.4,67.4,119.8,20.0,85.4,1.4,267.1,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-14,66.25,115.25,18.25,84.0,66.25,115.25,18.25,84.0,1.4,268.5,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-15,70.4,118.0,18.0,85.4,70.4,118.0,18.0,85.4,1.4,269.9,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-16,72.25,111.75,15.25,79.0,72.25,111.75,15.25,79.0,1.4,271.3,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-17,74.2,111.8,16.0,81.2,74.2,111.8,16.0,81.2,1.4,272.7,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-18,76.75,104.0,15.0,76.5,76.75,104.0,15.0,76.5,1.4,274.1,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-19,74.25,104.5,16.0,76.75,74.25,104.5,16.0,76.75,1.4,275.5,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-20,75.4,107.6,15.6,77.2,75.4,107.6,15.6,77.2,1.4,276.9,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-21,73.75,90.0,11.0,63.75,73.75,90.0,11.0,63.75,1.4,278.3,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-22,63.5,67.0,6.5,48.5,63.5,67.0,6.5,48.5,1.4,279.7,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-23,76.5,105.5,9.0,74.0,76.5,105.5,9.0,74.0,1.4,281.1,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-24,83.0,104.5,9.0,73.5,83.0,104.5,9.0,73.5,1.4,282.5,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-25,73.5,99.0,9.0,69.5,73.5,99.0,9.0,69.5,1.4,283.9,9.8,2.8,4.2,5.6,7.0,8.4
2016-04-26,74.5,96.0,9.0,67.5,74.5,96.0,9.0,67.5,1.4,285.3,9.8,2.8,4.2,5.6,7.0,8.4
