,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2/1/14,4589,4853,5,5648,4,70,135,25,94,196,36,24,28,28,39,40
2/2/14,6075,2815,6,5912,2,72,135,23,94,198,40,17,19,30,30,41
2/3/14,2948,2066,0,2652,0,67,135,20,95,198,42,6,6,19,30,30
2/4/14,1734,1710,1,1770,2,66,135,20,95,200,41,2,4,8,21,32
2/5/14,1791,1863,2,1746,2,66,143,20,100,202,32,2,4,6,10,23
2/6/14,1759,2542,3,1818,3,66,143,20,100,205,34,4,7,7,9,13
2/7/14,2663,6546,4,2601,4,70,143,20,100,209,26,5,9,11,11,13
2/8/14,4366,4934,5,6484,4,70,143,20,100,213,17,7,11,13,15,15
2/9/14,7308,3037,6,7052,6,73,143,23,100,219,17,8,14,17,19,21
2/10/14,2229,1459,0,2781,8,76,143,20,100,227,21,10,18,22,25,27
2/11/14,2527,2329,1,2011,3,76,143,20,100,230,29,14,17,21,25,28
2/12/14,2333,2522,2,1813,0,77,143,20,100,230,30,11,11,17,21,25
2/13/14,2269,3704,3,2002,6,80,143,20,100,236,28,3,9,17,23,27
2/14/14,3309,8141,4,3437,7,83,143,19,100,243,31,6,13,16,24,30
2/15/14,3978,5451,5,8269,1,83,134,24,100,244,34,13,14,14,17,25
2/16/14,6620,4056,6,9742,0,83,135,24,95,244,31,8,8,14,14,17
2/17/14,7157,2865,0,7178,2,80,135,24,95,246,25,1,3,10,16,16
2/18/14,3092,2398,1,2886,0,75,143,20,100,246,19,2,2,3,10,16
2/19/14,2342,2415,2,2192,0,72,140,20,98,246,16,2,2,2,3,10
2/20/14,2157,2948,3,2265,6,77,135,20,95,252,16,0,6,8,8,9
2/21/14,2758,6916,4,3056,2.2,77,135,20,95,252,16,6,8.2,8.2,10.2,10.2
2/22/14,4690,5230,5,7214,1,74,135,25,95,253,11.2,8.2,9.2,9.2,9.2,11.2
2/23/14,8470,3714,6,7754,7,76,135,23,95,260,11.2,3.2,10.2,16.2,16.2,16.2
2/24/14,3124,2144,0,2998,0,78,142,20,100,260,18.2,8,8,10.2,16.2,16.2
2/25/14,1925,1924,1,2018,0,77,142,20,100,260,16.2,7,7,8,10.2,16.2
2/26/14,2379,2542,2,2017,1.5,75,142,20,100,262,16.2,0,1.5,8.5,9.5,11.7
2/27/14,2420,3124,3,2180,0,74,135,19,95,263,17.7,1.5,1.5,1.5,8.5,9.5
2/28/14,3099,7066,4,2884,7,78,135,19,95,270,11.7,1.5,8.5,8.5,8.5,15.5
3/1/14,4356,4820,5,6851,2,79,135,25,95,272,16.5,7,9,10.5,10.5,10.5
3/2/14,4766,0,6,2085,7,83,135,24,95,279,17.5,9,16,16,17.5,17.5
3/3/14,733,0,0,1352,1,82,143,19,100,280,17.5,9,10,17,17,18.5
3/4/14,2095,2073,1,1330,1,82,143,19,100,281,18.5,8,9,11,18,18
3/5/14,2494,2624,2,1460,5,82,143,19,100,286,19.5,2,7,14,16,23
3/6/14,2552,3310,3,2218,0,81,135,19,95,286,23,6,6,7,14,16
3/7/14,2513,4381,4,4086,1,78,135,19,95,287,23,5,6,7,8,15
3/8/14,4836,6809,5,6059,12,87,135,19,95,299,17,1,13,18,19,20
3/9/14,2615,0,6,3444,0,87,135,23,95,299,27,13,13,13,18,19
3/10/14,2960,2666,0,3150,0,87,135,23,95,299,20,12,12,13,13,18
3/11/14,1917,1870,1,3103,2,89,135,20,95,301,19,0,2,14,15,15
3/12/14,2819,2849,2,3133,1.5,89,135,19,95,303,20,2,3.5,3.5,15.5,16.5
3/13/14,2904,3142,3,3371,0,85,135,19,95,304,16.5,3.5,3.5,3.5,3.5,15.5
3/14/14,3684,6110,4,5797,0,83,135,21,95,304,16.5,1.5,1.5,3.5,3.5,3.5
3/15/14,4129,4834,5,6502,0,82,135,21,95,304,15.5,0,0,1.5,3.5,3.5
3/16/14,6787,3842,6,3557,1,82,135,23,95,305,3.5,0,1,1,2.5,4.5
3/17/14,2760,2396,0,3193,0,82,135,19,95,305,4.5,1,1,1,1,2.5
3/18/14,2189,2058,1,3062,4,85,135,19,95,309,4.5,1,5,5,5,5
3/19/14,2782,2684,2,2964,2,84,135,20,95,311,6.5,4,6,7,7,7
3/20/14,2865,3046,3,3145,0,83,141,20,99,311,7,6,6,6,7,7
3/21/14,3167,5548,4,5526,0,81,141,20,99,311,7,2,2,6,6,7
3/22/14,3945,4736,5,6317,0,80,141,25,99,311,7,0,0,2,6,6
3/23/14,6321,4035,6,4031,5,82,141,22,99,316,7,0,5,5,7,11
3/24/14,3265,2865,0,3631,1.7,82,141,22,99,316,11,5,6.7,6.7,6.7,8.7
3/25/14,3174,2987,1,3444,0,83,141,22,99,316,12.7,6.7,6.7,6.7,6.7,6.7
3/26/14,3243,3150,2,3351,0,80,141,22,99,316,8.7,1.7,1.7,6.7,6.7,6.7
3/27/14,2888,3281,3,3744,4,80,141,22,99,320,6.7,0,4,5.7,10.7,10.7
3/28/14,3961,5555,4,5338,5,85,141,24,99,325,10.7,4,9,9,10.7,15.7
3/29/14,4536,4106,5,4908,1,84,141,24,99,326,15.7,9,10,10,10,11.7
3/30/14,5884,2728,6,1752,0,84,141,23,99,326,16.7,6,6,10,10,10
3/31/14,2510,1928,0,1170,5,85,143,20,100,331,11.7,1,6,11,15,15
4/1/14,2073,1928,1,1025,1,85,143,19,100,332,15,5,6,7,12,16
4/2/14,2076,2159,2,1108,1,87,143,20,100,333,16,6,7,7,8,13
4/3/14,2279,2587,3,1416,10,93,143,19,100,343,17,2,12,17,17,18
4/4/14,3264,4728,4,2880,3,94,143,19,100,346,23,11,14,15,20,20
4/5/14,3306,3493,5,3067,0,90,143,24,100,346,21,13,13,14,15,20
4/6/14,4968,2660,6,759,3,91,143,23,100,349,20,3,6,16,17,18
4/7/14,2187,1686,0,258,2,92,143,19,100,351,23,3,5,8,18,19
4/8/14,1854,1779,1,183,1,92,143,19,100,352,20,5,6,6,9,19
4/9/14,1901,1940,2,222,0,90,143,19,100,352,20,3,3,6,6,9
4/10/14,1855,2145,3,512,0,84,143,19,100,352,19,1,1,3,6,6
4/11/14,2195,3641,4,1958,0,83,143,19,100,352,9,0,0,1,3,6
4/12/14,2812,3308,5,2454,0,82,143,23,100,352,6,0,0,0,1,3
4/13/14,4024,2222,6,652,1,81,143,22,100,353,6,0,1,1,1,2
4/14/14,2176,1671,0,147,3,81,143,19,100,356,4,1,4,4,4,4
4/15/14,1822,1746,1,71,0,81,143,19,100,356,5,4,4,4,4,4
4/16/14,1678,1657,2,50,2,81,143,19,100,358,4,3,5,6,6,6
4/17/14,1836,2231,3,445,0,81,143,19,100,358,6,2,2,5,6,6
4/18/14,2434,4299,4,2310,0,81,143,19,100,358,6,2,2,2,5,6
4/19/14,2864,3389,5,2835,0,78,143,22,100,358,6,0,0,2,2,5
4/20/14,4505,2044,6,374,1,78,143,21,100,359,6,0,1,1,3,3
4/21/14,2493,1748,0,-371,0,77,108,8,76,360,6,1,1,1,1,3
4/22/14,1686,1590,1,-467,0,77,112,8,79,360,3,1,1,1,1,1
4/23/14,1642,1601,2,-508,0,77,112,9,79,360,3,0,0,1,1,1
4/24/14,1704,1911,3,-301,1,91,112,9,79,361,1,0,1,1,2,2
4/25/14,1956,2930,4,673,0,75,101,8,71,361,2,1,1,1,1,2
4/26/14,2306,2641,5,1008,0,75,95,8,67,361,2,1,1,1,1,1,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/16/14,3390,1489,6,236,10,18,5,4,4,10,9.1,11.3,12.6,13.9,15.2,16.5
11/17/14,1716,1493,0,13,0,18,6,4,5,10,9.1,10,12.6,13.9,15.2,16.5
11/18/14,1544,1531,1,0,0,18,7,4,1,10,9.1,0,10,13.9,15.2,16.5
11/19/14,1702,1714,2,12,0,18,8,4,6,10,9.1,0,0,10,15.2,16.5
11/20/14,1692,1861,3,181,0,18,11,4,8,10,9.1,0,0,0,10,10
11/21/14,1965,3287,4,1503,0,18,11,4,8,10,9.1,0,0,0,0,0
11/22/14,2360,3125,5,2268,0,18,12,4,9,10,10,0,0,0,0,0
