,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2013-12-14,5.0,2645.0,4.0,30.0,102.0,20.0,72.0,52.0,7.0,0.0,0.0,1.0,3.0,6.0
2013-12-15,6.0,3340.0,2.0,29.0,101.0,20.0,72.0,54.0,10.0,4.0,4.0,4.0,5.0,7.0
2013-12-16,0.0,1067.0,0.0,31.0,106.0,19.0,75.0,54.0,9.0,6.0,6.0,6.0,6.0,7.0
2013-12-17,1.0,698.0,0.0,31.0,109.0,19.0,77.0,54.0,7.0,2.0,6.0,6.0,6.0,6.0
2013-12-18,2.0,721.0,0.0,30.0,109.0,19.0,77.0,54.0,6.0,0.0,2.0,6.0,6.0,6.0
2013-12-19,3.0,724.0,0.0,39.0,104.0,19.0,73.0,54.0,6.0,0.0,0.0,2.0,6.0,6.0
2013-12-20,4.0,1124.0,1.0,28.0,107.0,19.0,75.0,55.0,6.0,0.0,0.0,0.0,2.0,6.0
2013-12-21,5.0,3170.0,8.0,36.0,107.0,23.0,75.0,63.0,7.0,1.0,1.0,1.0,1.0,3.0
2013-12-22,6.0,4728.0,6.0,36.0,115.0,22.0,81.0,69.0,11.0,9.0,9.0,9.0,9.0,9.0
2013-12-23,0.0,4360.0,4.0,40.0,115.0,22.0,81.0,73.0,15.0,14.0,15.0,15.0,15.0,15.0
2013-12-24,1.0,4355.0,1.0,38.0,116.0,22.0,82.0,74.0,19.0,10.0,18.0,19.0,19.0,19.0
2013-12-25,2.0,4832.0,4.0,38.0,116.0,22.0,82.0,78.0,20.0,5.0,11.0,19.0,20.0,20.0
2013-12-26,3.0,5196.0,0.0,37.0,116.0,22.0,82.0,78.0,24.0,5.0,9.0,15.0,23.0,24.0
2013-12-27,4.0,6772.0,0.0,36.0,123.0,22.0,87.0,78.0,24.0,4.0,5.0,9.0,15.0,23.0
2013-12-28,5.0,8777.0,0.0,35.0,130.0,23.0,87.0,78.0,23.0,0.0,4.0,5.0,9.0,15.0
2013-12-29,6.0,9323.0,8.0,39.0,123.0,23.0,87.0,86.0,15.0,0.0,0.0,4.0,5.0,9.0
2013-12-30,0.0,8112.0,2.0,39.0,123.0,23.0,87.0,88.0,17.0,8.0,8.0,8.0,12.0,13.0
2013-12-31,1.0,7864.0,1.0,40.0,129.0,23.0,91.0,89.0,15.0,10.0,10.0,10.0,10.0,14.0
2014-01-01,2.0,8861.0,8.0,49.0,130.0,22.0,91.0,97.0,15.0,3.0,11.0,11.0,11.0,11.0
2014-01-02,3.0,6561.0,2.0,45.0,123.0,23.0,87.0,99.0,19.0,9.0,11.0,19.0,19.0,19.0
2014-01-03,4.0,5646.0,0.0,41.0,125.0,23.0,88.0,99.0,21.0,10.0,11.0,13.0,21.0,21.0
2014-01-04,5.0,6313.0,3.5,42.0,126.0,23.0,88.5,103.5,22.0,2.0,7.0,11.5,13.0,18.0
2014-01-05,6.0,5679.0,4.0,45.0,127.0,23.0,89.0,110.0,20.0,7.0,7.0,9.0,17.0,18.0
2014-01-06,0.0,2369.0,1.0,45.0,127.0,21.0,89.0,111.0,22.0,9.0,11.0,11.0,13.0,21.0
2014-01-07,1.0,1586.0,0.0,45.0,133.0,21.0,94.0,111.0,22.0,5.0,10.0,12.0,12.0,14.0
2014-01-08,2.0,1601.0,3.0,45.0,133.0,21.0,94.0,114.0,14.0,1.0,5.0,10.0,12.0,12.0
2014-01-09,3.0,1584.0,3.0,45.0,133.0,20.0,94.0,117.0,15.0,3.0,4.0,8.0,13.0,15.0
2014-01-10,4.0,1842.0,5.0,48.0,135.0,20.0,95.0,122.0,18.0,6.0,6.0,7.0,11.0,16.0
2014-01-11,5.0,4807.0,7.0,52.0,134.0,23.0,94.0,129.0,21.0,8.0,11.0,11.0,12.0,16.0
2014-01-12,6.0,5267.0,0.0,52.0,132.0,23.0,93.0,129.0,23.0,12.0,15.0,18.0,18.0,19.0
2014-01-13,0.0,1781.0,9.0,55.0,133.0,21.0,94.0,138.0,19.0,7.0,12.0,15.0,18.0,18.0
2014-01-14,1.0,1231.0,4.0,56.0,141.0,21.0,99.0,142.0,27.0,9.0,16.0,21.0,24.0,27.0
