COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,P,20150211,4,4,6,3,13,20,70,70,91,153,132,127,143,205,228,310,350,161,128,57,13,11,17,4,02/11/2015
000223,S,20150211,6,6,10,4,29,177,46,154,286,292,189,127,108,100,135,145,174,157,101,89,78,52,43,34,02/11/2015
000223,P,20150212,3,4,2,1,8,34,76,75,69,167,163,151,151,166,254,318,375,194,140,57,31,20,25,6,02/12/2015
000223,S,20150212,12,14,5,9,48,159,60,193,276,305,223,195,155,174,196,218,258,306,250,248,231,153,98,51,02/12/2015
000223,P,20150213,4,3,4,5,6,18,76,80,128,153,159,204,190,262,384,468,618,340,191,68,44,34,21,11,02/13/2015
000223,S,20150213,31,13,9,13,44,116,94,345,477,522,525,438,314,374,478,540,568,719,535,546,495,290,152,104,02/13/2015
000223,P,20150214,5,8,8,4,7,18,51,64,118,153,196,246,253,297,431,559,579,388,228,140,100,59,36,15,02/14/2015
000223,S,20150214,38,20,21,9,22,92,340,626,350,332,432,438,399,369,359,308,270,267,178,126,139,67,69,47,02/14/2015
000223,P,20150215,6,6,2,7,5,20,57,72,130,324,545,680,618,566,653,691,473,664,271,170,152,89,32,28,02/15/2015
000223,S,20150215,17,14,5,12,30,74,186,528,385,337,325,279,230,197,203,167,100,95,45,49,57,46,33,15,02/15/2015
000223,P,20150216,3,3,8,9,17,41,103,140,202,354,425,687,730,635,587,511,589,429,239,169,119,57,19,6,02/16/2015
000223,S,20150216,13,7,8,14,21,75,61,276,292,354,223,194,121,93,118,90,100,74,55,44,50,28,31,18,02/16/2015
000223,P,20150217,6,2,5,4,6,38,100,32,229,197,211,291,241,278,338,390,415,223,147,61,22,17,12,13,02/17/2015
000223,S,20150217,6,10,9,5,42,137,51,169,339,323,220,166,115,100,124,145,112,147,83,59,57,62,31,16,02/17/2015
000223,P,20150218,3,3,4,3,11,30,82,91,113,147,133,154,153,200,281,334,414,182,145,51,35,14,14,10,02/18/2015
000223,S,20150218,13,10,6,7,46,175,68,166,289,287,222,215,119,133,150,148,168,151,89,78,79,60,44,38,02/18/2015
000223,P,20150219,4,4,2,5,8,32,67,81,110,140,151,141,181,213,266,327,405,235,158,53,38,19,15,4,02/19/2015
000223,S,20150219,18,10,5,14,37,142,69,183,310,305,233,189,143,153,187,221,242,242,183,205,167,145,65,55,02/19/2015
000223,P,20150220,4,4,3,3,8,27,80,90,120,160,195,217,268,249,288,359,380,266,162,39,36,18,19,12,02/20/2015
000223,S,20150220,25,22,11,13,37,98,105,274,463,496,342,304,296,312,570,798,825,1024,666,535,376,226,134,77,02/20/2015
000223,P,20150221,6,1,4,7,14,16,59,42,64,77,214,190,241,368,528,598,672,379,231,82,55,38,14,10,02/21/2015
000223,S,20150221,36,36,14,12,24,82,549,901,605,237,258,211,179,163,154,136,102,86,85,90,56,42,37,21,02/21/2015
000223,P,20150222,6,2,7,6,6,24,72,115,185,463,773,775,766,749,698,625,528,337,256,210,179,55,19,11,02/22/2015
