COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000240,20140225,P,36,30,8,18,31,71,196,484,685,718,686,635,631,654,700,913,981,870,549,331,282,200,139,97,02/25/2014
000240,20140225,S,50,26,21,9,12,51,173,545,882,806,691,592,588,557,645,695,794,829,631,393,290,206,145,96,02/25/2014
000240,20140226,P,54,28,24,24,41,91,196,481,741,705,650,604,643,674,770,932,1029,967,559,360,259,236,160,112,02/26/2014
000240,20140226,S,62,30,27,21,10,52,178,528,806,940,706,601,630,569,678,745,883,908,675,481,369,279,177,150,02/26/2014
000240,20140227,P,50,24,29,30,28,62,179,438,729,656,618,586,691,717,766,924,1091,918,608,360,278,263,193,107,02/27/2014
000240,20140227,S,99,52,37,17,18,53,185,564,950,836,720,680,653,617,725,757,879,1074,674,553,406,333,228,168,02/27/2014
000240,20140228,P,64,43,22,33,21,74,192,468,699,696,685,692,669,743,803,1041,1274,1023,735,438,373,300,204,150,02/28/2014
000240,20140228,S,122,68,60,26,11,56,190,597,1036,1018,846,694,650,677,798,933,1042,1049,951,809,628,523,336,216,02/28/2014
000240,20140301,P,91,61,47,35,37,72,205,450,734,703,637,556,600,616,719,881,1031,844,559,438,355,284,209,163,03/01/2014
000240,20140301,S,137,67,60,22,17,54,171,493,881,634,626,803,523,663,788,770,901,931,626,477,392,298,221,155,03/01/2014
000240,20140304,P,37,32,16,17,31,102,246,678,791,742,680,588,639,660,761,888,991,1116,604,372,350,240,170,107,03/04/2014
000240,20140304,S,51,28,14,10,17,59,203,726,963,823,669,668,584,566,714,923,912,821,654,471,323,268,152,107,03/04/2014
000240,20140305,P,43,77,42,26,42,102,259,642,775,717,665,713,652,744,744,966,1122,1009,655,374,295,272,154,103,03/05/2014
000240,20140305,S,57,38,31,20,13,76,221,623,1005,918,707,614,622,644,672,862,860,940,721,503,422,311,186,154,03/05/2014
000240,20140306,P,41,34,24,24,29,91,248,671,871,765,676,662,645,709,851,953,1245,990,670,411,360,294,172,123,03/06/2014
000240,20140306,S,70,50,29,12,17,64,217,720,1029,958,747,712,642,632,686,958,1018,1027,761,595,437,362,229,145,03/06/2014
000240,20140307,P,60,31,27,26,32,84,232,637,743,780,686,601,605,656,696,826,1032,955,643,413,330,263,241,135,03/07/2014
000240,20140307,S,103,65,36,31,15,68,229,784,1037,901,617,584,588,506,612,755,832,895,597,429,370,414,343,308,03/07/2014
000240,20140308,P,82,58,44,40,58,107,196,426,718,835,833,753,797,766,931,1128,1239,1153,811,599,477,366,255,153,03/08/2014
000240,20140308,S,140,67,49,29,35,64,185,715,1254,947,698,706,767,806,800,1019,1060,1070,837,563,476,328,265,205,03/08/2014
000240,20140310,P,47,34,23,19,40,129,257,619,813,784,751,689,756,743,749,991,1231,1180,730,442,313,234,164,120,03/10/2014
