COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20140212,P,64,45,33,34,59,134,243,449,556,703,805,771,854,1073,1169,1116,1111,875,539,363,250,186,133,83,02/12/2014
000106,20140212,S,128,71,68,45,87,136,317,718,1069,497,1193,730,682,784,842,839,818,683,542,546,504,400,366,234,02/12/2014
000106,20140213,P,48,72,36,51,56,127,232,352,480,622,484,911,789,990,1088,1087,1181,874,451,334,310,320,145,98,02/13/2014
000106,20140213,S,155,99,95,81,90,160,327,680,796,1246,1155,967,812,880,1028,1094,1214,814,864,1431,928,1031,583,431,02/13/2014
000106,20140214,P,61,70,52,64,64,116,252,398,531,697,926,1001,1092,1329,1520,1616,1070,1174,524,233,546,531,198,114,02/14/2014
000106,20140214,S,310,229,141,98,95,154,309,737,1208,1794,2010,2060,1836,2111,2006,1710,2050,1046,1232,1061,937,768,1811,1653,02/14/2014
000106,20140215,P,99,84,68,59,64,131,340,449,876,966,1200,1544,1338,1398,1675,1539,1353,1077,786,707,521,365,197,130,02/15/2014
000106,20140215,S,445,255,173,112,116,290,1450,1644,1683,1643,1263,1540,1425,1574,1508,1567,1423,1133,885,719,552,470,334,237,02/15/2014
000106,20140216,P,78,50,63,44,67,115,290,546,984,1715,2092,1970,1822,1752,1714,1633,1541,1089,408,1426,745,421,383,168,02/16/2014
000106,20140216,S,157,117,62,52,45,99,670,1459,1211,956,960,1093,1059,1055,1188,1216,1078,828,637,566,462,302,251,181,02/16/2014
000106,20140217,P,103,66,75,84,152,393,856,1184,1585,2225,2377,2367,2135,1802,1581,1415,1401,1230,994,926,708,358,215,113,02/17/2014
000106,20140217,S,142,110,59,64,94,147,473,1403,1269,1209,1088,948,823,871,875,886,850,708,541,413,322,283,240,150,02/17/2014
000106,20140218,P,87,45,57,75,119,277,591,816,956,1022,1068,1152,1053,1202,1363,1449,1518,1049,657,460,328,188,152,82,02/18/2014
000106,20140218,S,109,85,59,47,89,173,335,748,1182,1295,955,781,654,676,704,779,764,703,509,480,380,282,223,193,02/18/2014
000106,20140219,P,58,43,41,40,63,151,317,417,735,780,875,890,880,970,1099,1093,1042,474,585,340,259,198,119,59,02/19/2014
000106,20140219,S,110,89,70,52,92,155,304,722,932,1020,897,792,747,783,944,930,927,734,490,618,517,386,316,308,02/19/2014
000106,20140220,P,79,55,34,46,44,111,179,378,456,575,698,834,896,1084,1094,1036,1312,1034,641,485,337,273,128,103,02/20/2014
000106,20140220,S,178,136,97,66,87,151,322,863,1213,624,1206,846,812,863,925,1041,1063,1081,865,875,756,630,430,379,02/20/2014
000106,20140221,P,68,35,46,53,56,119,187,479,645,856,1020,1007,1095,1236,1456,1575,1620,1214,798,618,405,285,147,117,02/21/2014
